Sites,Depth(m),Lat DD,Long DD,Raw Site,Strombus_alatus
XII-D-G1,115,27.46730000N,084.36395000W,XII-D,2
XII-D-G2,115,27.46730000N,084.36395000W,XII-D,
XII-D-G3,115,27.46730000N,084.36395000W,XII-D,
XII-D2-T,108,27.41341667N,084.34298333W,XII-D2,
XII-D2-W,108,27.41341667N,084.34298333W,XII-D2,
XII-D2-LR,108,27.41341667N,084.34298333W,XII-D2,
XII-D2-Live,108,27.41341667N,084.34298333W,XII-D2,
XII-D2-G1,108,27.41341667N,084.34298333W,XII-D2,
XII-D2-G2,108,27.41341667N,084.34298333W,XII-D2,
XII-D2-G3,108,27.41341667N,084.34298333W,XII-D2,
XII-E-T,147,27.40256667N,084.51506667W,XII-E,
XII-E-W,147,27.40256667N,084.51506667W,XII-E,
XII-E-LR,147,27.40256667N,084.51506667W,XII-E,
XII-E-Live,147,27.40256667N,084.51506667W,XII-E,
XII-E-G1,147,27.40256667N,084.51506667W,XII-E,
XII-E-G2,147,27.40256667N,084.51506667W,XII-E,
XII-E-G3,147,27.40256667N,084.51506667W,XII-E,
XII-F-T,180,27.38331667N,084.63073333W,XII-F,
XII-F-W,180,27.38331667N,084.63073333W,XII-F,
XII-F-LR,180,27.38331667N,084.63073333W,XII-F,
XII-F-Live,180,27.38331667N,084.63073333W,XII-F,
XII-F-G1,180,27.38331667N,084.63073333W,XII-F,
XII-F-G2,180,27.38331667N,084.63073333W,XII-F,
XII-F-G3,180,27.38331667N,084.63073333W,XII-F,
XII-G-T,213,27.40156667N,084.73001667W,XII-G,
XII-G-W,213,27.40156667N,084.73001667W,XII-G,
XII-G-LR,213,27.40156667N,084.73001667W,XII-G,
XII-G-Live,213,27.40156667N,084.73001667W,XII-G,
XII-G-G1,213,27.40156667N,084.73001667W,XII-G,
XII-G-G2,213,27.40156667N,084.73001667W,XII-G,
XII-G-G3,213,27.40156667N,084.73001667W,XII-G,
XII-H-T,233,27.40015000N,084.77338333W,XII-H,
XII-H-W,233,27.40015000N,084.77338333W,XII-H,
XII-H-LR,233,27.40015000N,084.77338333W,XII-H,
XII-H-Live,233,27.40015000N,084.77338333W,XII-H,
XII-H-G1,233,27.40015000N,084.77338333W,XII-H,
XII-H-G2,233,27.40015000N,084.77338333W,XII-H,
XII-H-G3,233,27.40015000N,084.77338333W,XII-H,
XII-I-T,271.5,27.39726667N,084.84628333W,XII-I,
XII-I-W,271.5,27.39726667N,084.84628333W,XII-I,
XII-I-LR,271.5,27.39726667N,084.84628333W,XII-I,
XII-I-Live,271.5,27.39726667N,084.84628333W,XII-I,
XII-I-G1,271.5,27.39726667N,084.84628333W,XII-I,
XII-I-G2,271.5,27.39726667N,084.84628333W,XII-I,
XII-I-G3,271.5,27.39726667N,084.84628333W,XII-I,
XII-J-T,306,27.31596667N,084.87053333W,XII-J,
XII-J-W,306,27.31596667N,084.87053333W,XII-J,
XII-J-LR,306,27.31596667N,084.87053333W,XII-J,
XII-J-Live,306,27.31596667N,084.87053333W,XII-J,
XII-J-G1,306,27.31596667N,084.87053333W,XII-J,
XII-J-G2,306,27.31596667N,084.87053333W,XII-J,
XII-J-G3,306,27.31596667N,084.87053333W,XII-J,
XII-Z-T,15,27.53605000N,082.95766667W,XII-Z,97
XII-Z-W,15,27.53605000N,082.95766667W,XII-Z,
XII-Z-LR,15,27.53605000N,082.95766667W,XII-Z,
XII-Z-Live,15,27.53605000N,082.95766667W,XII-Z,
XII-Z-G1,15,27.53605000N,082.95766667W,XII-Z,12
XII-Z-G2,15,27.53605000N,082.95766667W,XII-Z,30
XII-Z-G3,15,27.53605000N,082.95766667W,XII-Z,55
XIII-A-T,15,24.37315000N,081.92523333W,XIII-A,18
XIII-A-W,15,24.37315000N,081.92523333W,XIII-A,
XIII-A-LR,15,24.37315000N,081.92523333W,XIII-A,
XIII-A-Live,15,24.37315000N,081.92523333W,XIII-A,1
XIII-A-G1,15,24.37315000N,081.92523333W,XIII-A,14
XIII-A-G2,15,24.37315000N,081.92523333W,XIII-A,3
XIII-A-G3,15,24.37315000N,081.92523333W,XIII-A,
XIII-B-T,17,24.73616667N,081.92965000W,XIII-B,3
XIII-B-W,17,24.73616667N,081.92965000W,XIII-B,
XIII-B-LR,17,24.73616667N,081.92965000W,XIII-B,
XIII-B-Live,17,24.73616667N,081.92965000W,XIII-B,1
XIII-B-G1,17,24.73616667N,081.92965000W,XIII-B,1
XIII-B-G2,17,24.73616667N,081.92965000W,XIII-B,1
XIII-B-G3,17,24.73616667N,081.92965000W,XIII-B,
XIII-C-T,18,24.73825000N,081.96695000W,XIII-C,26
XIII-C-W,18,24.73825000N,081.96695000W,XIII-C,
XIII-C-LR,18,24.73825000N,081.96695000W,XIII-C,
XIII-C-Live,18,24.73825000N,081.96695000W,XIII-C,12
XIII-C-G1,18,24.73825000N,081.96695000W,XIII-C,14
XIII-C-G2,18,24.73825000N,081.96695000W,XIII-C,
XIII-C-G3,18,24.73825000N,081.96695000W,XIII-C,
XIII-D-T,20,24.74093333N,082.05203333W,XIII-D,69
XIII-D-W,20,24.74093333N,082.05203333W,XIII-D,
XIII-D-LR,20,24.74093333N,082.05203333W,XIII-D,
XIII-D-Live,20,24.74093333N,082.05203333W,XIII-D,58
XIII-D-G1,20,24.74093333N,082.05203333W,XIII-D,8
XIII-D-G2,20,24.74093333N,082.05203333W,XIII-D,2
XIII-D-G3,20,24.74093333N,082.05203333W,XIII-D,1
XIII-E-T,21,24.74553333N,082.16131667W,XIII-E,16
XIII-E-W,21,24.74553333N,082.16131667W,XIII-E,
XIII-E-LR,21,24.74553333N,082.16131667W,XIII-E,
XIII-E-Live,21,24.74553333N,082.16131667W,XIII-E,11
XIII-E-G1,21,24.74553333N,082.16131667W,XIII-E,5
XIII-E-G2,21,24.74553333N,082.16131667W,XIII-E,
XIII-E-G3,21,24.74553333N,082.16131667W,XIII-E,
XIII-F-T,23,24.74916667N,082.27355000W,XIII-F,13
XIII-F-W,23,24.74916667N,082.27355000W,XIII-F,
XIII-F-LR,23,24.74916667N,082.27355000W,XIII-F,
XIII-F-Live,23,24.74916667N,082.27355000W,XIII-F,12
XIII-F-G1,23,24.74916667N,082.27355000W,XIII-F,1
XIII-F-G2,23,24.74916667N,082.27355000W,XIII-F,
XIII-F-G3,23,24.74916667N,082.27355000W,XIII-F,
XIII-G-T,24,24.75178333N,082.38881667W,XIII-G,19
XIII-G-W,24,24.75178333N,082.38881667W,XIII-G,
XIII-G-LR,24,24.75178333N,082.38881667W,XIII-G,
XIII-G-Live,24,24.75178333N,082.38881667W,XIII-G,19
XIII-G-G1,24,24.75178333N,082.38881667W,XIII-G,
XIII-G-G2,24,24.75178333N,082.38881667W,XIII-G,
XIII-G-G3,24,24.75178333N,082.38881667W,XIII-G,
XIII-H-T,26,24.75606667N,082.45011667W,XIII-H,8
XIII-H-W,26,24.75606667N,082.45011667W,XIII-H,
XIII-H-LR,26,24.75606667N,082.45011667W,XIII-H,
XIII-H-Live,26,24.75606667N,082.45011667W,XIII-H,6
XIII-H-G1,26,24.75606667N,082.45011667W,XIII-H,2
XIII-H-G2,26,24.75606667N,082.45011667W,XIII-H,
XIII-H-G3,26,24.75606667N,082.45011667W,XIII-H,
XIII-I-T,27,24.76121667N,082.54018333W,XIII-I,10
XIII-I-W,27,24.76121667N,082.54018333W,XIII-I,
XIII-I-LR,27,24.76121667N,082.54018333W,XIII-I,
XIII-I-Live,27,24.76121667N,082.54018333W,XIII-I,6
XIII-I-G1,27,24.76121667N,082.54018333W,XIII-I,3
XIII-I-G2,27,24.76121667N,082.54018333W,XIII-I,
XIII-I-G3,27,24.76121667N,082.54018333W,XIII-I,1
XIII-J-T,29,24.77655000N,082.55888333W,XIII-J,3
XIII-J-W,29,24.77655000N,082.55888333W,XIII-J,
XIII-J-LR,29,24.77655000N,082.55888333W,XIII-J,
XIII-J-Live,29,24.77655000N,082.55888333W,XIII-J,
XIII-J-G1,29,24.77655000N,082.55888333W,XIII-J,1
XIII-J-G2,29,24.77655000N,082.55888333W,XIII-J,1
XIII-J-G3,29,24.77655000N,082.55888333W,XIII-J,1
XIII-K-T,30,24.77640000N,082.58768333W,XIII-K,1
XIII-K-W,30,24.77640000N,082.58768333W,XIII-K,
XIII-K-LR,30,24.77640000N,082.58768333W,XIII-K,
XIII-K-Live,30,24.77640000N,082.58768333W,XIII-K,
XIII-K-G1,30,24.77640000N,082.58768333W,XIII-K,1
XIII-K-G2,30,24.77640000N,082.58768333W,XIII-K,
XIII-K-G3,30,24.77640000N,082.58768333W,XIII-K,
XIII-L-T,33.5,24.78695000N,082.74763333W,XIII-L,
XIII-L-W,33.5,24.78695000N,082.74763333W,XIII-L,
XIII-L-LR,33.5,24.78695000N,082.74763333W,XIII-L,
XIII-L-Live,33.5,24.78695000N,082.74763333W,XIII-L,
XIII-L-G1,33.5,24.78695000N,082.74763333W,XIII-L,
XIII-L-G2,33.5,24.78695000N,082.74763333W,XIII-L,
XIII-L-G3,33.5,24.78695000N,082.74763333W,XIII-L,
XIII-M-T,36.5,24.78590000N,082.83253333W,XIII-M,
XIII-M-W,36.5,24.78590000N,082.83253333W,XIII-M,
XIII-M-LR,36.5,24.78590000N,082.83253333W,XIII-M,
XIII-M-Live,36.5,24.78590000N,082.83253333W,XIII-M,
XIII-M-G1,36.5,24.78590000N,082.83253333W,XIII-M,
XIII-M-G2,36.5,24.78590000N,082.83253333W,XIII-M,
XIII-M-G3,36.5,24.78590000N,082.83253333W,XIII-M,
XIII-N-T,39.5,24.77641667N,082.89063333W,XIII-N,1
XIII-N-W,39.5,24.77641667N,082.89063333W,XIII-N,
XIII-N-LR,39.5,24.77641667N,082.89063333W,XIII-N,
XIII-N-Live,39.5,24.77641667N,082.89063333W,XIII-N,
XIII-N-G1,39.5,24.77641667N,082.89063333W,XIII-N,1
XIII-N-G2,39.5,24.77641667N,082.89063333W,XIII-N,
XIII-N-G3,39.5,24.77641667N,082.89063333W,XIII-N,
XIII-O-T,42.5,24.77236667N,082.97026667W,XIII-O,
XIII-O-W,42.5,24.77236667N,082.97026667W,XIII-O,
XIII-O-LR,42.5,24.77236667N,082.97026667W,XIII-O,
XIII-O-Live,42.5,24.77236667N,082.97026667W,XIII-O,
XIII-O-G1,42.5,24.77236667N,082.97026667W,XIII-O,
XIII-O-G2,42.5,24.77236667N,082.97026667W,XIII-O,
XIII-O-G3,42.5,24.77236667N,082.97026667W,XIII-O,
XIII-P-T,46,24.77093333N,083.01438333W,XIII-P,3
XIII-P-W,46,24.77093333N,083.01438333W,XIII-P,
XIII-P-LR,46,24.77093333N,083.01438333W,XIII-P,
XIII-P-Live,46,24.77093333N,083.01438333W,XIII-P,
XIII-P-G1,46,24.77093333N,083.01438333W,XIII-P,3
XIII-P-G2,46,24.77093333N,083.01438333W,XIII-P,
XIII-P-G3,46,24.77093333N,083.01438333W,XIII-P,
XIII-Q-T,49,24.78685000N,083.06691667W,XIII-Q,13
XIII-Q-W,49,24.78685000N,083.06691667W,XIII-Q,
XIII-Q-LR,49,24.78685000N,083.06691667W,XIII-Q,
XIII-Q-Live,49,24.78685000N,083.06691667W,XIII-Q,
XIII-Q-G1,49,24.78685000N,083.06691667W,XIII-Q,9
XIII-Q-G2,49,24.78685000N,083.06691667W,XIII-Q,3
XIII-Q-G3,49,24.78685000N,083.06691667W,XIII-Q,1
XIV-A-T,52,24.76970000N,083.12590000W,XIV-A,4
XIV-A-W,52,24.76970000N,083.12590000W,XIV-A,
XIV-A-LR,52,24.76970000N,083.12590000W,XIV-A,
XIV-A-Live,52,24.76970000N,083.12590000W,XIV-A,
XIV-A-G1,52,24.76970000N,083.12590000W,XIV-A,2
XIV-A-G2,52,24.76970000N,083.12590000W,XIV-A,1
XIV-A-G3,52,24.76970000N,083.12590000W,XIV-A,1
XIV-B-T,55,24.73853333N,083.13430000W,XIV-B,2
XIV-B-W,55,24.73853333N,083.13430000W,XIV-B,
XIV-B-LR,55,24.73853333N,083.13430000W,XIV-B,
XIV-B-Live,55,24.73853333N,083.13430000W,XIV-B,
XIV-B-G1,55,24.73853333N,083.13430000W,XIV-B,1
XIV-B-G2,55,24.73853333N,083.13430000W,XIV-B,
XIV-B-G3,55,24.73853333N,083.13430000W,XIV-B,1
XIV-C-T,58,24.78770000N,083.18991667W,XIV-C,3
XIV-C-W,58,24.78770000N,083.18991667W,XIV-C,
XIV-C-LR,58,24.78770000N,083.18991667W,XIV-C,
XIV-C-Live,58,24.78770000N,083.18991667W,XIV-C,
XIV-C-G1,58,24.78770000N,083.18991667W,XIV-C,1
XIV-C-G2,58,24.78770000N,083.18991667W,XIV-C,
XIV-C-G3,58,24.78770000N,083.18991667W,XIV-C,2
XIV-D-T,61,24.52203333N,083.19145000W,XIV-D,4
XIV-D-W,61,24.52203333N,083.19145000W,XIV-D,
XIV-D-LR,61,24.52203333N,083.19145000W,XIV-D,
XIV-D-Live,61,24.52203333N,083.19145000W,XIV-D,
XIV-D-G1,61,24.52203333N,083.19145000W,XIV-D,
XIV-D-G2,61,24.52203333N,083.19145000W,XIV-D,2
XIV-D-G3,61,24.52203333N,083.19145000W,XIV-D,2
XIV-E-T,82,24.46445000N,083.18688333W,XIV-E,
XIV-E-W,82,24.46445000N,083.18688333W,XIV-E,
XIV-E-LR,82,24.46445000N,083.18688333W,XIV-E,
XIV-E-Live,82,24.46445000N,083.18688333W,XIV-E,
XIV-E-G1,82,24.46445000N,083.18688333W,XIV-E,
XIV-E-G2,82,24.46445000N,083.18688333W,XIV-E,
XIV-E-G3,82,24.46445000N,083.18688333W,XIV-E,
XIV-F-T,122,24.43811667N,083.19086667W,XIV-F,
XIV-F-W,122,24.43811667N,083.19086667W,XIV-F,
XIV-F-LR,122,24.43811667N,083.19086667W,XIV-F,
XIV-F-Live,122,24.43811667N,083.19086667W,XIV-F,
XIV-F-G1,122,24.43811667N,083.19086667W,XIV-F,
XIV-F-G2,122,24.43811667N,083.19086667W,XIV-F,
XIV-F-G3,122,24.43811667N,083.19086667W,XIV-F,
XIV-G-T,152,24.41010000N,083.18853333W,XIV-G,
XIV-G-W,152,24.41010000N,083.18853333W,XIV-G,
XIV-G-LR,152,24.41010000N,083.18853333W,XIV-G,
XIV-G-Live,152,24.41010000N,083.18853333W,XIV-G,
XIV-G-G1,152,24.41010000N,083.18853333W,XIV-G,
XIV-G-G2,152,24.41010000N,083.18853333W,XIV-G,
XIV-G-G3,152,24.41010000N,083.18853333W,XIV-G,
XIV-H-T,183,24.39998333N,083.18845000W,XIV-H,
XIV-H-W,183,24.39998333N,083.18845000W,XIV-H,
XIV-H-LR,183,24.39998333N,083.18845000W,XIV-H,
XIV-H-Live,183,24.39998333N,083.18845000W,XIV-H,
XIV-H-G1,183,24.39998333N,083.18845000W,XIV-H,
XIV-H-G2,183,24.39998333N,083.18845000W,XIV-H,
XIV-H-G3,183,24.39998333N,083.18845000W,XIV-H,
XIV-I-T,213,24.39481667N,083.19310000W,XIV-I,
XIV-I-W,213,24.39481667N,083.19310000W,XIV-I,
XIV-I-LR,213,24.39481667N,083.19310000W,XIV-I,
XIV-I-Live,213,24.39481667N,083.19310000W,XIV-I,
XIV-I-G1,213,24.39481667N,083.19310000W,XIV-I,
XIV-I-G2,213,24.39481667N,083.19310000W,XIV-I,
XIV-I-G3,213,24.39481667N,083.19310000W,XIV-I,
XVI-1-T,7.5,27.60613333N,082.66510000W,XVI-1,5
XVI-1-W,7.5,27.60613333N,082.66510000W,XVI-1,
XVI-1-LR,7.5,27.60613333N,082.66510000W,XVI-1,
XVI-1-Live,7.5,27.60613333N,082.66510000W,XVI-1,
XVI-1-G1,7.5,27.60613333N,082.66510000W,XVI-1,3
XVI-1-G2,7.5,27.60613333N,082.66510000W,XVI-1,2
XVI-1-G3,7.5,27.60613333N,082.66510000W,XVI-1,
XVI-2-T,7,27.59138333N,082.73045000W,XVI-2,29
XVI-2-W,7,27.59138333N,082.73045000W,XVI-2,
XVI-2-LR,7,27.59138333N,082.73045000W,XVI-2,
XVI-2-Live,7,27.59138333N,082.73045000W,XVI-2,7
XVI-2-G1,7,27.59138333N,082.73045000W,XVI-2,20
XVI-2-G2,7,27.59138333N,082.73045000W,XVI-2,2
XVI-2-G3,7,27.59138333N,082.73045000W,XVI-2,
XVI-3-T,5,27.05798333N,082.44841667W,XVI-3,
XVI-3-W,5,27.05798333N,082.44841667W,XVI-3,
XVI-3-LR,5,27.05798333N,082.44841667W,XVI-3,
XVI-3-Live,5,27.05798333N,082.44841667W,XVI-3,
XVI-3-G1,5,27.05798333N,082.44841667W,XVI-3,
XVI-3-G2,5,27.05798333N,082.44841667W,XVI-3,
XVI-3-G3,5,27.05798333N,082.44841667W,XVI-3,
XVI-4-T,5,27.04848333N,082.44293333W,XVI-4,11
XVI-4-W,5,27.04848333N,082.44293333W,XVI-4,
XVI-4-LR,5,27.04848333N,082.44293333W,XVI-4,
XVI-4-Live,5,27.04848333N,082.44293333W,XVI-4,
XVI-4-G1,5,27.04848333N,082.44293333W,XVI-4,7
XVI-4-G2,5,27.04848333N,082.44293333W,XVI-4,4
XVI-4-G3,5,27.04848333N,082.44293333W,XVI-4,
XVI-5-T,10.5,27.05033333N,082.49998333W,XVI-5,
XVI-5-W,10.5,27.05033333N,082.49998333W,XVI-5,
XVI-5-LR,10.5,27.05033333N,082.49998333W,XVI-5,
XVI-5-Live,10.5,27.05033333N,082.49998333W,XVI-5,
XVI-5-G1,10.5,27.05033333N,082.49998333W,XVI-5,
XVI-5-G2,10.5,27.05033333N,082.49998333W,XVI-5,
XVI-5-G3,10.5,27.05033333N,082.49998333W,XVI-5,
XVI-6-T,13,27.05021667N,082.65101667W,XVI-6,6
XVI-6-W,13,27.05021667N,082.65101667W,XVI-6,
XVI-6-LR,13,27.05021667N,082.65101667W,XVI-6,
XVI-6-Live,13,27.05021667N,082.65101667W,XVI-6,1
XVI-6-G1,13,27.05021667N,082.65101667W,XVI-6,2
XVI-6-G2,13,27.05021667N,082.65101667W,XVI-6,2
XVI-6-G3,13,27.05021667N,082.65101667W,XVI-6,1
XVI-7-T,26,27.05050000N,082.88813333W,XVI-7,
XVI-7-W,26,27.05050000N,082.88813333W,XVI-7,
XVI-7-LR,26,27.05050000N,082.88813333W,XVI-7,
XVI-7-Live,26,27.05050000N,082.88813333W,XVI-7,
XVI-7-G1,26,27.05050000N,082.88813333W,XVI-7,
XVI-7-G2,26,27.05050000N,082.88813333W,XVI-7,
XVI-7-G3,26,27.05050000N,082.88813333W,XVI-7,
XVI-7.5-T,26,27.05133333N,082.86978333W,XVI-7.5,
XVI-7.5-W,26,27.05133333N,082.86978333W,XVI-7.5,
XVI-7.5-LR,26,27.05133333N,082.86978333W,XVI-7.5,
XVI-7.5-Live,26,27.05133333N,082.86978333W,XVI-7.5,
XVI-7.5-G1,26,27.05133333N,082.86978333W,XVI-7.5,
XVI-7.5-G2,26,27.05133333N,082.86978333W,XVI-7.5,
XVI-7.5-G3,26,27.05133333N,082.86978333W,XVI-7.5,
XVI-8-T,35,27.04843333N,083.08928333W,XVI-8,2
XVI-8-W,35,27.04843333N,083.08928333W,XVI-8,
XVI-8-LR,35,27.04843333N,083.08928333W,XVI-8,
XVI-8-Live,35,27.04843333N,083.08928333W,XVI-8,
XVI-8-G1,35,27.04843333N,083.08928333W,XVI-8,1
XVI-8-G2,35,27.04843333N,083.08928333W,XVI-8,
XVI-8-G3,35,27.04843333N,083.08928333W,XVI-8,1
XVI-9-T,40,27.04935000N,083.22000000W,XVI-9,2
XVI-9-W,40,27.04935000N,083.22000000W,XVI-9,
XVI-9-LR,40,27.04935000N,083.22000000W,XVI-9,
XVI-9-Live,40,27.04935000N,083.22000000W,XVI-9,1
XVI-9-G1,40,27.04935000N,083.22000000W,XVI-9,1
XVI-9-G2,40,27.04935000N,083.22000000W,XVI-9,
XVI-9-G3,40,27.04935000N,083.22000000W,XVI-9,
XVI-10-T,45,27.04901667N,083.35110000W,XVI-10,
XVI-10-W,45,27.04901667N,083.35110000W,XVI-10,
XVI-10-LR,45,27.04901667N,083.35110000W,XVI-10,
XVI-10-Live,45,27.04901667N,083.35110000W,XVI-10,
XVI-10-G1,45,27.04901667N,083.35110000W,XVI-10,
XVI-10-G2,45,27.04901667N,083.35110000W,XVI-10,
XVI-10-G3,45,27.04901667N,083.35110000W,XVI-10,
XVI-11-T,63.5,27.05586667N,083.81310000W,XVI-11,
XVI-11-W,63.5,27.05586667N,083.81310000W,XVI-11,
XVI-11-LR,63.5,27.05586667N,083.81310000W,XVI-11,
XVI-11-Live,63.5,27.05586667N,083.81310000W,XVI-11,
XVI-11-G1,63.5,27.05586667N,083.81310000W,XVI-11,
XVI-11-G2,63.5,27.05586667N,083.81310000W,XVI-11,
XVI-11-G3,63.5,27.05586667N,083.81310000W,XVI-11,
XVI-12-T,81,27.05373333N,083.99230000W,XVI-12,
XVI-12-W,81,27.05373333N,083.99230000W,XVI-12,
XVI-12-LR,81,27.05373333N,083.99230000W,XVI-12,
XVI-12-Live,81,27.05373333N,083.99230000W,XVI-12,
XVI-12-G1,81,27.05373333N,083.99230000W,XVI-12,
XVI-12-G2,81,27.05373333N,083.99230000W,XVI-12,
XVI-12-G3,81,27.05373333N,083.99230000W,XVI-12,
XVI-13-T,99,27.05183333N,084.14623333W,XVI-13,
XVI-13-W,99,27.05183333N,084.14623333W,XVI-13,
XVI-13-LR,99,27.05183333N,084.14623333W,XVI-13,
XVI-13-Live,99,27.05183333N,084.14623333W,XVI-13,
XVI-13-G1,99,27.05183333N,084.14623333W,XVI-13,
XVI-13-G2,99,27.05183333N,084.14623333W,XVI-13,
XVI-13-G3,99,27.05183333N,084.14623333W,XVI-13,
XVI-14-T,118,27.05150000N,084.21870000W,XVI-14,
XVI-14-W,118,27.05150000N,084.21870000W,XVI-14,
XVI-14-LR,118,27.05150000N,084.21870000W,XVI-14,
XVI-14-Live,118,27.05150000N,084.21870000W,XVI-14,
XVI-14-G1,118,27.05150000N,084.21870000W,XVI-14,
XVI-14-G2,118,27.05150000N,084.21870000W,XVI-14,
XVI-14-G3,118,27.05150000N,084.21870000W,XVI-14,
XVI-15-T,144,27.06115000N,084.41600000W,XVI-15,
XVI-15-W,144,27.06115000N,084.41600000W,XVI-15,
XVI-15-LR,144,27.06115000N,084.41600000W,XVI-15,
XVI-15-Live,144,27.06115000N,084.41600000W,XVI-15,
XVI-15-G1,144,27.06115000N,084.41600000W,XVI-15,
XVI-15-G2,144,27.06115000N,084.41600000W,XVI-15,
XVI-15-G3,144,27.06115000N,084.41600000W,XVI-15,
XVI-16-T,107,27.13881667N,084.26196667W,XVI-16,1
XVI-16-W,107,27.13881667N,084.26196667W,XVI-16,
XVI-16-LR,107,27.13881667N,084.26196667W,XVI-16,
XVI-16-Live,107,27.13881667N,084.26196667W,XVI-16,
XVI-16-G1,107,27.13881667N,084.26196667W,XVI-16,1
XVI-16-G2,107,27.13881667N,084.26196667W,XVI-16,
XVI-16-G3,107,27.13881667N,084.26196667W,XVI-16,
XVI-17-T,90,27.19783333N,084.17978333W,XVI-17,
XVI-17-W,90,27.19783333N,084.17978333W,XVI-17,
XVI-17-LR,90,27.19783333N,084.17978333W,XVI-17,
XVI-17-Live,90,27.19783333N,084.17978333W,XVI-17,
XVI-17-G1,90,27.19783333N,084.17978333W,XVI-17,
XVI-17-G2,90,27.19783333N,084.17978333W,XVI-17,
XVI-17-G3,90,27.19783333N,084.17978333W,XVI-17,
XVI-18-T,101,27.25551667N,084.23648333W,XVI-18,
XVI-18-W,101,27.25551667N,084.23648333W,XVI-18,
XVI-18-LR,101,27.25551667N,084.23648333W,XVI-18,
XVI-18-Live,101,27.25551667N,084.23648333W,XVI-18,
XVI-18-G1,101,27.25551667N,084.23648333W,XVI-18,
XVI-18-G2,101,27.25551667N,084.23648333W,XVI-18,
XVI-18-G3,101,27.25551667N,084.23648333W,XVI-18,
XVI-19-T,65,27.41869167N,084.04248333W,XVI-19,4
XVI-19-W,65,27.41869167N,084.04248333W,XVI-19,
XVI-19-LR,65,27.41869167N,084.04248333W,XVI-19,
XVI-19-Live,65,27.41869167N,084.04248333W,XVI-19,
XVI-19-G1,65,27.41869167N,084.04248333W,XVI-19,2
XVI-19-G2,65,27.41869167N,084.04248333W,XVI-19,2
XVI-19-G3,65,27.41869167N,084.04248333W,XVI-19,
XVII-A-T,6.1,29.14985000N,083.18398333W,XVII-A,22
XVII-A-W,6.1,29.14985000N,083.18398333W,XVII-A,
XVII-A-LR,6.1,29.14985000N,083.18398333W,XVII-A,
XVII-A-Live,6.1,29.14985000N,083.18398333W,XVII-A,
XVII-A-G1,6.1,29.14985000N,083.18398333W,XVII-A,7
XVII-A-G2,6.1,29.14985000N,083.18398333W,XVII-A,7
XVII-A-G3,6.1,29.14985000N,083.18398333W,XVII-A,8
XVII-B-T,15.5,29.00703333N,083.51978333W,XVII-B,2
XVII-B-W,15.5,29.00703333N,083.51978333W,XVII-B,
XVII-B-LR,15.5,29.00703333N,083.51978333W,XVII-B,
XVII-B-Live,15.5,29.00703333N,083.51978333W,XVII-B,
XVII-B-G1,15.5,29.00703333N,083.51978333W,XVII-B,2
XVII-B-G2,15.5,29.00703333N,083.51978333W,XVII-B,
XVII-B-G3,15.5,29.00703333N,083.51978333W,XVII-B,
XVII-C-T,21,28.91471667N,083.71900000W,XVII-C,4
XVII-C-W,21,28.91471667N,083.71900000W,XVII-C,
XVII-C-LR,21,28.91471667N,083.71900000W,XVII-C,
XVII-C-Live,21,28.91471667N,083.71900000W,XVII-C,
XVII-C-G1,21,28.91471667N,083.71900000W,XVII-C,
